,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,0.9880701333284378,0.9872378706932068,0.987526935338974,0.9860891580581665,0.9860106229782104,0.981890743970871,0.9702578485012054,0.8051716536283493,0.6671671956777573,0.6437692329287529,0.7433823272585869,0.5238429464399814,0.5794959098100663,0.3068320918828249,0.20357194170355797
alphablend_0p20_normal,0.9874256432056427,0.9865839183330536,0.9871434926986694,0.9861135184764862,0.985162791609764,0.9810143113136292,0.9710719287395477,0.8288836032152176,0.7107938632369042,0.7281486466526985,0.7892089247703552,0.5717371709644794,0.6533318676054478,0.3310865364968777,0.20139350183308125
alphablend_0p30_normal,0.9851529926061631,0.9856609374284744,0.986015260219574,0.984805217385292,0.9849235534667968,0.9798811584711075,0.9710762888193131,0.8336975395679473,0.7601059705018998,0.7520383507013321,0.8142680242657662,0.6511416971683502,0.6669913753867149,0.38700462132692337,0.2632899144664407
alphablend_0p40_normal,0.9801743179559708,0.9819872617721558,0.9832489639520645,0.9822123229503632,0.9828476727008819,0.978262859582901,0.9699698567390442,0.8882291316986084,0.8254212260246276,0.8314800053834915,0.8044445633888244,0.6692936934530735,0.6626632519066333,0.4213084504008293,0.3008720938116312
alphablend_0p50_normal,0.9654005825519562,0.9580677270889282,0.9721414834260941,0.9775619268417358,0.9787714004516601,0.9740306228399277,0.9670318394899369,0.8926730126142501,0.8643359810113906,0.8524760529398918,0.8116835445165634,0.7481724321842194,0.7209162235260009,0.4719750165939331,0.3315915297716856
alphablend_0p60_normal,0.7146213233470917,0.6572060748934746,0.7275932103395462,0.819900569319725,0.8912761270999908,0.9698531687259674,0.962149029970169,0.9204643309116364,0.9073077619075776,0.8566686466336251,0.7710054114460945,0.6901612482964993,0.6410086505115032,0.4471712350845337,0.3467511754482985
alphablend_0p70_normal,0.43133881948888303,0.378090787306428,0.3809714071452618,0.3797136712819338,0.35213630087673664,0.7896503418684006,0.9472017765045166,0.8980527698993683,0.8954826682806015,0.827078840136528,0.7327757492661476,0.6709665820002556,0.6600181192159653,0.4583943273872137,0.3429432317614555
alphablend_0p80_normal,0.2936670135706663,0.2560566462576389,0.25580935925245285,0.2476878460496664,0.24267843179404736,0.26895268596708777,0.47300190925598146,0.8801996916532516,0.8554674416780472,0.7146123751997948,0.5609178021550179,0.5119076848030091,0.5315537959337234,0.40312847644090655,0.32030182629823684
alphablend_0p82_normal,0.269885016605258,0.2467051088809967,0.24565767608582972,0.24325674772262573,0.24094926938414574,0.25511346459388734,0.36075541041791437,0.8694910645484925,0.8529286682605743,0.7753675013780594,0.5754062153398991,0.5072493784129619,0.529924963414669,0.3823317550122738,0.333823774009943
alphablend_0p85_normal,0.25927682854235173,0.24296674281358718,0.24309085309505463,0.24179622046649457,0.24043882191181182,0.24434712938964367,0.279047891125083,0.7651838555932045,0.6809639543294906,0.6398396588861942,0.5266109108924866,0.44277420789003374,0.4280752640217543,0.3933334216475487,0.3283026233315468
alphablend_0p88_normal,0.25045989975333216,0.24061542339622974,0.24068445712327957,0.24103592485189437,0.24002489298582078,0.24100874066352845,0.24980439879000188,0.4903826504945755,0.5174332343041896,0.48827909082174303,0.46798242181539534,0.4161785952746868,0.40391564667224883,0.36964930184185507,0.35029573887586596
alphablend_0p90_normal,0.25232663191854954,0.24108121320605277,0.24142139814794064,0.24105018004775047,0.2400274585932493,0.24100321270525454,0.24625912867486477,0.39987707063555716,0.45253359749913213,0.532511581480503,0.46536158993840215,0.4446023128926754,0.4132360637187958,0.38003026619553565,0.33764743320643903
alphablend_0p92_normal,0.25171669870615004,0.24050361067056655,0.2412102848291397,0.2408571720123291,0.239998310059309,0.24050001688301564,0.24362819232046604,0.3385933004319668,0.4005466289818287,0.39996122661978006,0.41029770076274874,0.418532257527113,0.3676950937137008,0.37967573925852777,0.3228178098797798
alphablend_0p95_normal,0.25191117711365224,0.24060283340513705,0.2411195110529661,0.24093108363449572,0.24001719392836093,0.240571304038167,0.24245922304689885,0.2943627584725618,0.3452572707086802,0.3280365714803338,0.35553153455257414,0.3898451641201973,0.3181808078661561,0.37099507749080657,0.3398103788495064
alphablend_0p98_normal,0.24424242191016673,0.23914673700928687,0.2399912502616644,0.24065015651285648,0.23979902528226377,0.2401090033352375,0.24105922505259514,0.2774518016725779,0.31748384088277815,0.3141726354137063,0.34030230697244407,0.34748264849185945,0.2925644423812628,0.35546358972787856,0.31966316867619754
