,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p90_normal_seed_1
alphablend_0p10_normal,0.9796991050243378,0.9754837036132813,0.9341238588094711,0.927514523267746,0.9493348270654678,0.9710449665784836,0.9476464569568634,0.9147158622741699,0.7166788220405579
alphablend_0p20_normal,0.9800355434417725,0.9755808591842652,0.9275236252695322,0.9462571263313293,0.9526143699884415,0.9712590128183365,0.9550182908773422,0.9204346746206283,0.7280756920576096
alphablend_0p30_normal,0.9799570292234421,0.9722407519817352,0.9188044503331184,0.962952297925949,0.9529450565576554,0.9689792156219482,0.9522132575511932,0.920544758439064,0.7226136937737465
alphablend_0p40_normal,0.9756329417228699,0.9530430048704147,0.8797265160828829,0.9248230949044227,0.9594285011291503,0.9680939495563508,0.9406328201293945,0.9262403398752213,0.7384601354598999
alphablend_0p50_normal,0.9528200209140778,0.7954227969050407,0.8137702509760857,0.8846398964524269,0.9625484585762024,0.9625546306371688,0.9585005402565002,0.93098124563694,0.7467354238033295
alphablend_0p60_normal,0.7740433473140002,0.17570680640637876,0.27023837603628637,0.7621182978153229,0.9438243359327316,0.9102557539939881,0.9556109935045243,0.9329186290502548,0.7467344909906387
alphablend_0p70_normal,0.24806460328400134,0.01823982149362564,0.2586127109825611,0.33581413645297287,0.7196580521762371,0.670124051719904,0.9459212064743042,0.9276010066270828,0.7640231624245644
alphablend_0p80_normal,0.0033578570000827312,0.0,0.3724020093679428,0.07128767371177673,0.2538664661347866,0.13691414352506398,0.8789222359657287,0.9160214930772781,0.7965999245643616
alphablend_0p90_normal,0.0,0.0,0.4842856481671333,0.0,0.06356687103398144,0.0,0.048289583250880244,0.6089128687977791,0.7995535850524902
